Video Path,chunk,label
../Engagement Datasets/DAiSEE/DAiSEE/DataSet/Train/110001/1100011002/1100011002.avi,1100011002.avi,2
../Engagement Datasets/DAiSEE/DAiSEE/DataSet/Train/110001/1100011003/1100011003.avi,1100011003.avi,2
../Engagement Datasets/DAiSEE/DAiSEE/DataSet/Train/110001/1100011004/1100011004.avi,1100011004.avi,3
../Engagement Datasets/DAiSEE/DAiSEE/DataSet/Train/110001/1100011005/1100011005.avi,1100011005.avi,3
../Engagement Datasets/DAiSEE/DAiSEE/DataSet/Train/110001/1100011006/1100011006.avi,1100011006.avi,3
../Engagement Datasets/DAiSEE/DAiSEE/DataSet/Train/110001/1100011007/1100011007.avi,1100011007.avi,2
../Engagement Datasets/DAiSEE/DAiSEE/DataSet/Train/110001/1100011008/1100011008.avi,1100011008.avi,3
../Engagement Datasets/DAiSEE/DAiSEE/DataSet/Train/110001/1100011009/1100011009.avi,1100011009.avi,2
../Engagement Datasets/DAiSEE/DAiSEE/DataSet/Train/110001/1100011010/1100011010.avi,1100011010.avi,3
../Engagement Datasets/DAiSEE/DAiSEE/DataSet/Train/110001/1100011011/1100011011.avi,1100011011.avi,3
../Engagement Datasets/DAiSEE/DAiSEE/DataSet/Train/110001/1100011012/1100011012.avi,1100011012.avi,2
../Engagement Datasets/DAiSEE/DAiSEE/DataSet/Train/110001/1100011013/1100011013.avi,1100011013.avi,3
../Engagement Datasets/DAiSEE/DAiSEE/DataSet/Train/110001/1100011014/1100011014.avi,1100011014.avi,3
../Engagement Datasets/DAiSEE/DAiSEE/DataSet/Train/110001/1100011015/1100011015.avi,1100011015.avi,3
../Engagement Datasets/DAiSEE/DAiSEE/DataSet/Train/110001/1100011016/1100011016.avi,1100011016.avi,3
../Engagement Datasets/DAiSEE/DAiSEE/DataSet/Train/110001/1100011017/1100011017.avi,1100011017.avi,3
../Engagement Datasets/DAiSEE/DAiSEE/DataSet/Train/110001/1100011018/1100011018.avi,1100011018.avi,3
../Engagement Datasets/DAiSEE/DAiSEE/DataSet/Train/110001/1100011019/1100011019.avi,1100011019.avi,3
../Engagement Datasets/DAiSEE/DAiSEE/DataSet/Train/110001/1100011020/1100011020.avi,1100011020.avi,3
../Engagement Datasets/DAiSEE/DAiSEE/DataSet/Train/110001/1100011021/1100011021.avi,1100011021.avi,3
../Engagement Datasets/DAiSEE/DAiSEE/DataSet/Train/110001/1100011022/1100011022.avi,1100011022.avi,3
